ID,RougeMesuré,VertMesuré,BleuMesuré,Brightness,L21S_VDD2L_MEM_ENERGY_AVG_UWS,UFS(Disk)_ENERGY_AVG_UWS,S12S_VDD_AUR_ENERGY_AVG_UWS,Camera_ENERGY_AVG_UWS,GPU3D_ENERGY_AVG_UWS,Sensor_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS,Memory_ENERGY_AVG_UWS.1,Display_ENERGY_AVG_UWS,GPS_ENERGY_AVG_UWS,GPU_ENERGY_AVG_UWS,WLANBT_ENERGY_AVG_UWS,L22M_DISP_ENERGY_AVG_UWS,S6M_LLDO1_ENERGY_AVG_UWS,S8M_LLDO2_ENERGY_AVG_UWS,S9M_VDD_CPUCL0_M_ENERGY_AVG_UWS,CPU_BIG_ENERGY_AVG_UWS,CPU_LITTLE_ENERGY_AVG_UWS,CPU_MID_ENERGY_AVG_UWS,INFRASTRUCTURE_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS,CELLULAR_ENERGY_AVG_UWS.1,INFRASTRUCTURE_ENERGY_AVG_UWS.1,TPU_ENERGY_AVG_UWS,CPU_LITTLE_FREQ_KHz,CPU_MID_FREQ_KHz,CPU_BIG_FREQ_KHz,GPU0_FREQ,GPU_1FREQ,GPU_MEM_AVG,BATTERY_DISCHARGE_TOTAL_UA,BATTERY_DISCHARGE_RATE_UAS,TOTAL_DATA_WIFI_BYTES,AVG_SOC_TEMP,DIFF_SOC_TEMP,BATTERY__PERCENT,L21S_VDD2L_MEM_ENERGY_UW,UFS(Disk)_ENERGY_UW,S12S_VDD_AUR_ENERGY_UW,Camera_ENERGY_UW,GPU3D_ENERGY_UW,Sensor_ENERGY_UW,Memory_ENERGY_UW,Memory_ENERGY_UW.1,Display_ENERGY_UW,GPS_ENERGY_UW,GPU_ENERGY_UW,WLANBT_ENERGY_UW,L22M_DISP_ENERGY_UW,S6M_LLDO1_ENERGY_UW,S8M_LLDO2_ENERGY_UW,S9M_VDD_CPUCL0_M_ENERGY_UW,CPU_BIG_ENERGY_UW,CPU_LITTLE_ENERGY_UW,CPU_MID_ENERGY_UW,INFRASTRUCTURE_ENERGY_UW,CELLULAR_ENERGY_UW,CELLULAR_ENERGY_UW.1,INFRASTRUCTURE_ENERGY_UW.1,TPU_ENERGY_UW,C_ID,C_PL,M_ID,M_PL
324,141,6,7,50,2249.348793,33886.50449,4767.415713,24885.44217,62925.46975,11812.68006,23926.66843,155427.5883,146739.329,502.0606888,254884.2104,211171.8791,54899.15262,133419.2839,34266.38464,20016.08282,814217.0359,297767.6684,135623.0841,175030.3466,8365.462761,0,35293.80976,0,1082179,881219,1763048,765578,662601,494055424,-6000,856312.16,3976029,43756.57143,1809,45,67729,999886,144089,750244,1889503,355196,716803,4655776,4408312,15114,7680314,6370721,1648281,4002231,1030038,601065,24002585,8893047,4136283,5251236,234651,0,1061649,0,14.98657718,33.97107383,293856.7517,4671403.597
325,177,200,132,70,3564.569622,27079.36459,4159.871258,21604.78272,13747.45669,10573.45248,5809.311352,52760.67723,437193.4386,456.1388655,28049.71603,199487.6736,52159.91681,96891.59934,30283.07069,16879.22504,9109.769306,184940.6753,65777.98599,57266.57263,6386.802364,0,25648.06225,0,1048537,728437,529985,140539,108361,457072640,-4000,427308.129,2574307,43273,-1122,45,119249,922703,143012,737614,476864,363402,210640,1882978,15297298,15656,1017682,6786733,1791080,3375208,1041822,585524,538253,6607194,2763489,2103099,217275,0,884947,0,6.36,25.95786667,240207.6267,4675936.24
326,88,163,141,70,2627.561185,32971.11878,5342.17463,24978.40224,74746.18821,13139.54934,40357.58164,322168.6788,365602.5781,536.2567821,320278.7557,216233.1399,52440.08662,190006.1413,40132.29245,37317.35464,777366.8414,983787.0894,1208818.811,360805.9621,5821.892398,0,62168.57271,0,2362075,4650642,2207394,784947,757032,507887616,-14000,1714910.214,5518481,44573.25,5134,45,79044,983210,161362,756028,2234602,396158,1217400,9658727,10985939,16161,9616672,6454069,1576246,5690052,1210585,1125056,22783989,29493479,35502959,10755362,174703,0,1871910,0,64.52348993,77.30765101,490824.2148,4869730.926
327,76,221,73,66,2207.441913,27465.28895,4719.138773,19559.86867,51230.04794,11594.03941,25138.31413,149157.0003,300628.3046,492.8686447,209540.6719,194899.701,50120.33287,123218.4181,33353.95643,18742.70123,334166.318,259843.8382,278343.7989,170582.5386,5001.892849,0,33205.1102,0,833207,1744346,1153243,612675,552213,485339136,-6000,904417.8276,2136330,45804.16667,143,44,75506,939890,161703,679568,1750931,397559,851275,5102999,10813719,16902,7168685,6662344,1720287,4249020,1142641,645305,11379658,9070043,9709696,5785652,204632,0,1134529,0,37.81208054,52.55993289,342158.953,4794895.597
328,87,190,148,23,2200.96611,27205.73529,4747.918774,19173.83526,53144.16082,11662.07031,23722.00216,146811.2165,196258.1156,495.4437618,209664.8949,196622.397,49442.11945,131782.0967,33761.30957,19748.51468,338329.5824,306002.7917,400864.424,167258.5656,4893.659296,0,34022.84053,0,1101241,2194667,1154075,625244,554411,508559360,-8000,908624.7667,2810478,45408.75,832,43,76665,948862,165377,681131,1856513,405360,839012,5206208,6964528,17230,7388046,6876108,1728528,4596935,1177028,692629,11754792,11025799,14076522,5849200,184029,0,1187154,0,43.77852349,59.10597315,354376.1879,4728501.181
329,49,81,173,11,2123.813315,25885.11786,4672.574394,18821.47971,51247.03727,11516.59692,19457.60358,134429.202,144047.8871,489.6784184,193462.1538,198341.1757,51610.84987,120292.4698,32704.14137,18218.25417,334493.0346,190852.9625,74355.39227,146772.4348,5128.915325,0,30465.77453,0,781723,733497,1153721,610816,521296,498593792,-4000,568055.2222,2397662,45284.28571,-334,43,63883,774619,140204,565435,1537612,346001,583812,4045291,4338707,14748,5812569,5993044,1552661,3621989,984750,547671,10037064,5777154,2257030,4410833,151147,0,912468,0,14.32,32.8358,336257.7067,4766645.067
330,240,215,41,31,2089.613308,27425.97751,4637.51341,19621.05023,53510.37991,11516.78209,16565.26895,135540.5693,254226.1544,484.3589917,206923.5254,212352.237,52071.52294,128835.0813,32583.21808,18918.1108,336667.7969,262779.9996,282439.5939,139659.2726,4266.999457,0,30417.79877,0,914660,1910973,1152870,658186,546497,519069696,-6000,727862.24,4457634,44878.75,550,42,62609,815099,139832,589353,1608458,345963,477687,4046942,7633946,14536,6206236,6395307,1566278,3883735,979743,569290,10121338,8027150,8471574,4169138,131784,0,913196,0,38.28,52.5432,353716.8533,4834129.707
331,64,141,223,3,2013.491102,27481.74621,4576.654812,19509.86485,50037.09284,11179.03469,14282.17824,130834.8599,116333.9172,473.7346648,192303.2287,202159.6585,51312.5802,128096.5862,32321.40414,18730.78921,329485.5219,248081.7315,283383.7129,136559.4223,5803.403055,0,30228.35007,0,992210,1786599,1155000,640662,536146,502616064,-6000,668162.36,3923193,45017,303,42,60037,808483,136654,581644,1497374,333234,425929,3884605,3465054,14120,5721392,6042084,1531566,3815100,962626,557252,9791618,7378343,8385643,4079291,166640,0,899645,0,38.12666667,54.44526667,328766.96,4803641.493
332,239,237,114,80,2145.131632,26491.99538,4666.829633,18781.01142,50429.56294,11542.17105,23360.54731,146297.0523,600808.0527,485.6034481,202886.4448,222818.9621,49729.4101,123926.9465,33079.17215,18706.95687,330694.9271,239221.3661,274900.654,168891.4895,5039.003102,0,33144.46923,0,918164,1545940,1140211,605367,537444,534716416,-8000,801574,6072228,45109.66667,585,41,70309,865754,152511,621312,1658220,377398,771580,4846017,19754465,15919,6677557,7323320,1637768,4074885,1084037,616528,10824255,8098106,9136241,5534830,176104,0,1087525,0,38.51333333,54.24433333,362488.2933,4806045.093
333,219,228,38,44,3676.945927,27240.45416,4292.282685,22088.22103,11867.02669,10662.90687,5201.146377,56321.64891,312048.4254,456.3391906,21303.11853,201440.7838,48858.32559,101914.1449,30335.6366,17627.1496,207359.5933,208112.3932,168002.9713,55089.54268,6612.103542,0,27200.87151,0,1027875,1445643,1137971,114036,87775,495939584,-4000,500416.375,2572160,44414,-893,41,99807,752307,118321,609483,330209,294668,146315,1593556,8735078,12628,626404,5570550,1357137,2845824,841796,489346,5734405,6228958,4934956,1581537,186663,0,751384,0,27.78666667,44.39866667,246283.3333,4627219.013
